43748,37844,34935,32311,30351,28771,26082
44467,43367,40252,37287,33248,31040,29494
44100,41000,38100,38000,35548,28800,27000
44602,44093,40832,38676,36101,32766,30182
35188,31036,30168,27838,26825,25105,23908
44684,43524,40425,37125,35958,32539,29381
35982,33283,28794,27397,26385,24796,23298
43882,38023,35283,33762,31012,29259,27102
35619,33137,29730,26464,24985,24018,23060
32972,30769,29675,27900,26028,25181,24597
45682,44985,42869,39783,37905,34917,32769
35979,31722,31115,29082,27907,26388,25281
44895,42794,41484,39168,37608,34091,29267
48085,47006,44410,40728,38827,35921,33250
39275,36784,35259,32661,29993,25529,24054
36400,33827,31538,29095,27272,25945,24189
43991,39568,36216,33546,31660,30502,26845
40647,37730,37439,35605,32447,30567,28456
41866,35561,33355,30029,28163,26846,26686
42899,38363,36686,35207,33677,30358,28057
46435,45420,45079,41529,38220,36993,33848
36606,34591,32484,28054,27184,24638,24377
33294,32469,31193,28435,26706,26069,25902
43042,39436,36964,36284,33595,32581,31159
45096,44476,41779,40911,39018,35671,31057
36009,32870,31028,29932,29065,27080,25773
49507,48841,46662,43287,41347,37156,33873
47511,45816,45133,43650,40433,37512,35674
43748,40016,38443,36512,34977,31930,28606
37563,35079,32638,30807,28678,26859,25467
36509,32927,31548,30302,29835,27213,26573
43965,40156,37612,34499,32347,30541,27000
44712,39975,38584,37168,35208,34235,32373
44000,38000,37000,34000,32500,30000,27000
39854,38077,36641,34057,31322,28259,24993
34652,33066,32402,30297,28803,27371,26449
37072,35576,34263,31007,28803,26995,25365
47128,45962,44509,42282,40025,36500,33698
47396,46012,45268,44171,42597,38976,36851
37855,37135,35430,32453,31080,29159,26309
37182,36412,33805,32500,30361,27695,25786
45234,43231,41450,38053,37255,36097,34462
46248,43666,40452,39466,39763,33067,31379
39037,36501,34419,33386,31820,29218,26126
39476,37865,36361,34289,31846,30383,27838
47683,46258,45425,44897,44165,41691,39084
47785,45645,47010,44616,39884,36984,35125
50000,48600,47300,45600,44600,40800,38500
47230,46711,45121,40785,39064,37108,36102
47839,44258,41681,39938,38462,34838,33061
42000,39800,39600,35800,34700,33900,33000
45329,42589,39801,36267,34589,32449,30152
46226,43906,43148,40261,38296,36998,34740
39570,37042,34875,33834,33278,31243,26723
41625,39352,37380,35260,32980,31536,29676
48092,47250,45967,45938,45526,44898,41223
48627,47293,46325,44012,41141,38960,37995
46076,45648,45177,44336,43207,40202,38191
46738,46210,47462,43275,41698,39578,37408
47270,44159,42757,39869,38387,33348,30241
39053,33977,32205,32374,30010,27996,26502
44087,42545,39610,36181,33294,30455,28368
38760,34910,33446,30261,27420,23476,22672
33995,30518,29872,27203,26626,23676,23169
34075,32074,27915,26315,24784,23458,22382
43748,37844,34935,32311,30351,28771,26082
44467,43367,40252,37287,33248,31040,29494
50325,48659,47576,45257,52324,40021,38973
49859,47492,45760,45093,44865,44450,41889
48892,48229,47453,43507,41621,39113,37335
47760,47083,46006,45509,45332,44674,41386
46521,45308,44142,42762,39639,38094,35481
45329,42589,39801,36267,34589,32449,30152
46226,43906,43148,40261,38296,36998,34740
39570,37042,34875,33834,33278,31243,26723
41625,39352,37380,35260,32980,31536,29676
48092,47250,45967,45938,45526,44898,41223
48627,47293,46325,44012,41141,38960,37995
46076,45648,45177,44336,43207,40202,38191
46738,46210,47462,43275,41698,39578,37408
47270,44159,42757,39869,38387,33348,30241
39053,33977,32205,32374,30010,27996,26502
44087,42545,39610,36181,33294,30455,28368
38760,34910,33446,30261,27420,23476,22672
33995,30518,29872,27203,26626,23676,23169
34075,32074,27915,26315,24784,23458,22382
43748,37844,34935,32311,30351,28771,26082
44467,43367,40252,37287,33248,31040,29494
50325,48659,47576,45257,52324,40021,38973
49859,47492,45760,45093,44865,44450,41889
48892,48229,47453,43507,41621,39113,37335
47760,47083,46006,45509,45332,44674,41386
46521,45308,44142,42762,39639,38094,35481
